Brand,Similar Brands,Coocurrence Frequency
Baby Gear,Noa Lily,1000.0
Baby Gear,Little Things Mean a Lot,1000.0
Baby Gear,UPPAbaby,1000.0
Baby Gear,Mulberribush,1000.0
Baby Gear,Marie Chantal,1000.0
Baby Phat,UFC,1000.0
Baby Phat,Muratori,1000.0
Baby Phat,Sunny Taylor,1000.0
Baby Phat,Le Château,1000.0
Baby Phat,Boblbee,1000.0
Baby Phat,Cleo & Patek,1000.0
Baby Phat,Etonic,1000.0
Baby Phat,Creative Nail Design,1000.0
Baby Phat,Nocona,1000.0
Baby Phat,Arthur Court,1000.0
Baby-G,Penbrooke,1000.0
Baby-G,Boppy,1000.0
Baby-G,Pendergrass,1000.0
Baby-G,DHS,666.6667
Baby-G,Honora,500.0
Baby-G,Les Hommes,500.0
Baby-G,Bellino,500.0
Baby-G,Garmin,500.0
Baby-G,Completely Bare,500.0
Baby-G,Epilady,500.0
Badger Basket,Jens Risom,1000.0
Badger Basket,Joan Casas i Ortinez,1000.0
Badger Basket,Lynn Chase,1000.0
Badger Basket,Ready To Bed,1000.0
Badger Basket,MASH Studios,1000.0
Badger Basket,Massimo Vignelli,1000.0
Badger Basket,Modern Basics,1000.0
Badger Basket,Paper Cloud,1000.0
Badger Basket,Philippe Deshoulieres,1000.0
Badger Basket,Amanda Brisbane,1000.0
Bailey 44,Academie,1000.0
Bailey 44,D-Segno,1000.0
Bailey 44,ESQ,1000.0
Bailey 44,Glamglow,1000.0
Bailey 44,Tria Beauty,1000.0
Bailey 44,banfi,1000.0
Bailey 44,Kenetrek,1000.0
Bailey 44,Fullum & Holt,1000.0
Bailey 44,Imagine by Vince Camuto,1000.0
Bailey 44,Jhane Barnes,1000.0
Bali,D-Segno,1000.0
Bali,Couleur de Rose,1000.0
Bali,Groundhog,1000.0
Bali,ESQ,1000.0
Bali,Da'mage,1000.0
Bali,Fleurville,1000.0
Bali,Maria Bonita Extra,1000.0
Bali,Dr. Jart+,1000.0
Bali,Bastien,1000.0
Bali,Sunny Taylor,1000.0
Bandolino,Vivanz,1000.0
Bandolino,Muratori,1000.0
Bandolino,Ozone,1000.0
Bandolino,T. Cyia,1000.0
Bandolino,Dana Kay,1000.0
Bandolino,Le Château,1000.0
Bandolino,Bo Bo Bags,1000.0
Bandolino,Creative Nail Design,1000.0
Bandolino,Barneys New York CO-OP,1000.0
Bandolino,Charles Fradin Home,1000.0
Barbie,Backyard Safari,1000.0
Barbie,Bare,1000.0
Barbie,Christy's,1000.0
Barbie,Erico,1000.0
Barbie,Jane Inc.,1000.0
Barbie,Hvana,1000.0
Barbie,Lucky Elephant,1000.0
Barbie,Plum,1000.0
Barbie,iSi,1000.0
Barbie,Neosporin,1000.0
Barely There,Avenue Montaigne,1000.0
Barely There,Grail,1000.0
Barely There,Imagine by Vince Camuto,1000.0
Barely There,Jhane Barnes,1000.0
Barely There,Mella,1000.0
Barely There,Le Château,1000.0
Barely There,Boblbee,1000.0
Barely There,Harlot,1000.0
Barely There,Bare,1000.0
Barely There,Minton,1000.0
Barse,Rzst,1000.0
Barse,Masini,1000.0
Barse,Spreegirl,1000.0
Barse,LotuSculpt,1000.0
Barse,Pink Cookie,500.0
Barse,Bulzeye,500.0
Barse,Kalyani,500.0
Barse,Sutton Studio,500.0
Barse,Elizabeth Ngo,500.0
Barse,Sisi Amber,500.0
Ben Sherman,Rake,1000.0
Ben Sherman,Academie,1000.0
Ben Sherman,Briggs,1000.0
Ben Sherman,Couleur de Rose,1000.0
Ben Sherman,Superman,1000.0
Ben Sherman,Multiples,1000.0
Ben Sherman,American Essentials,1000.0
Ben Sherman,Bostonian,1000.0
Ben Sherman,Da'mage,1000.0
Ben Sherman,Fleurville,1000.0
Berek,Girlactik Beauty,1000.0
Berek,Lulu Beauty,1000.0
Berek,Beth Orduna,1000.0
Berek,Mycra Pac Designer Wear,1000.0
Berek,Metro 7,1000.0
Berek,Beaute & Relax,1000.0
Berek,Beretta,1000.0
Berek,Bernardo Collections,500.0
Berek,Beauty of Bathing,500.0
Berek,Bess Milano,500.0
Beth Bowley,Girlactik Beauty,1000.0
Beth Bowley,Lulu Beauty,1000.0
Beth Bowley,Beth Orduna,1000.0
Beth Bowley,Metro 7,1000.0
Beth Bowley,Suss,1000.0
Beth Bowley,Anthony Luciano,1000.0
Beth Bowley,Susanne Kaufmann,1000.0
Beth Bowley,Beaute & Relax,1000.0
Beth Bowley,Beretta,1000.0
Beth Bowley,Ageless Beauty,1000.0
Betsey Johnson,City Triangles,1000.0
Betsey Johnson,Couleur de Rose,1000.0
Betsey Johnson,Denby,1000.0
Betsey Johnson,Libbey,1000.0
Betsey Johnson,Multiples,1000.0
Betsey Johnson,Sphinx,1000.0
Betsey Johnson,Younique,1000.0
Betsey Johnson,Asgi Footwear,1000.0
Betsey Johnson,Astrakhan,1000.0
Betsey Johnson,Autunno,1000.0
Betsy & Adam,Catherine Rapetti,1000.0
Betsy & Adam,D-Segno,1000.0
Betsy & Adam,ESQ,1000.0
Betsy & Adam,Muratori,1000.0
Betsy & Adam,Suss,1000.0
Betsy & Adam,Boblbee,1000.0
Betsy & Adam,Etonic,1000.0
Betsy & Adam,Girlactik Beauty,1000.0
Betsy & Adam,Lulu Beauty,1000.0
Betsy & Adam,Dash & Albert,1000.0
